source,target,value,group
აჭარის ა.რ.:,არასასოფლო-სამეურნეო:,30.5175,type_a
გურია:,არასასოფლო-სამეურნეო:,25.1873,type_a
თბილისი:,არასასოფლო-სამეურნეო:,93.280295,type_a
იმერეთი:,არასასოფლო-სამეურნეო:,64.518708,type_a
კახეთი:,არასასოფლო-სამეურნეო:,52.9562,type_a
მცხეთა-მთიანეთი:,არასასოფლო-სამეურნეო:,61.3548,type_a
რაჭა-ლეჩხუმი და ქვემო სვანეთი:,არასასოფლო-სამეურნეო:,6.9295,type_a
სამეგრელო-ზემო სვანეთი:,არასასოფლო-სამეურნეო:,64.5234,type_a
სამცხე-ჯავახეთი:,არასასოფლო-სამეურნეო:,55.9183,type_a
ქვემო ქართლი:,არასასოფლო-სამეურნეო:,22.7438,type_a
შიდა ქართლი:,არასასოფლო-სამეურნეო:,154.4903,type_a
აჭარის ა.რ.:,სასოფლო-სამეურნეო:,7.6875,type_b
გურია:,სასოფლო-სამეურნეო:,44.6633,type_b
თბილისი:,სასოფლო-სამეურნეო:,2.5304,type_b
იმერეთი:,სასოფლო-სამეურნეო:,38.3052,type_b
კახეთი:,სასოფლო-სამეურნეო:,204.559,type_b
მცხეთა-მთიანეთი:,სასოფლო-სამეურნეო:,27.1522,type_b
რაჭა-ლეჩხუმი და ქვემო სვანეთი:,სასოფლო-სამეურნეო:,0.9272,type_b
სამეგრელო-ზემო სვანეთი:,სასოფლო-სამეურნეო:,641.2357,type_b
სამცხე-ჯავახეთი:,სასოფლო-სამეურნეო:,172.2351,type_b
ქვემო ქართლი:,სასოფლო-სამეურნეო:,1913.0505,type_b
შიდა ქართლი:,სასოფლო-სამეურნეო:,452.3917,type_b
აჭარის ა.რ.:,ტყე:,23.9,type_c
თბილისი:,ტყე:,30.3,type_c
იმერეთი:,ტყე:,5.35,type_c
კახეთი:,ტყე:,1462.1,type_c
მცხეთა-მთიანეთი:,ტყე:,52.7,type_c
სამეგრელო-ზემო სვანეთი:,ტყე:,148.9,type_c
სამცხე-ჯავახეთი:,ტყე:,128.6,type_c
შიდა ქართლი:,ტყე:,1,type_c
